"1384079023","363.65","305.05","303.99","60752.6095822100","267.21","305.05"
"1384079084","363.65","305.05","305.05","60751.5464040500","267.21","305.78"
"1384079145","363.65","305.05","303.99","60749.8595822100","267.21","305.05"
"1384079206","363.65","305.05","305.00","60681.4651414600","267.21","305.05"
"1384079267","363.65","303.99","303.88","60684.4072819600","267.21","303.99"
"1384079328","363.65","303.99","303.88","60671.5904267000","267.21","304.90"
"1384079389","363.65","304.90","304.90","60669.4441414600","267.21","304.97"
"1384079450","363.65","304.90","304.90","60627.3239803800","267.21","304.97"
"1384079511","363.65","304.90","304.00","60514.2397242200","267.21","304.90"
"1384079572","363.65","305.99","305.46","60442.9340243200","267.21","305.99"
"1384079633","363.65","305.46","305.78","60414.8050280200","267.21","305.98"
"1384079694","363.65","305.99","305.98","60369.9311716000","267.21","305.99"
"1384079755","363.65","306.00","305.98","60345.2289926500","267.21","306.00"
"1384079816","363.65","304.45","304.45","60250.1746173100","267.21","305.00"
"1384079877","363.65","304.45","304.35","60239.3188259800","267.21","304.45"
"1384079938","363.65","304.45","304.35","60165.9692344800","267.21","304.45"
"1384079999","363.65","304.35","304.19","60163.9895380700","267.21","304.35"
"1384080060","363.65","303.80","303.80","60142.8598400800","267.21","303.83"
"1384080121","363.65","303.80","303.52","60143.0541064900","267.21","303.80"
"1384080182","363.65","303.41","303.31","60200.2137727500","267.21","303.41"
"1384080243","363.65","302.11","302.11","60241.8282436100","267.21","303.20"
"1384080304","363.65","302.00","302.00","60318.4670152600","267.21","303.20"
"1384080365","363.65","303.31","301.89","60328.8570371700","267.21","303.00"
"1384080426","363.65","303.00","301.70","60325.2522961700","267.21","303.00"
"1384080487","363.65","300.56","300.20","60348.4551965800","267.21","300.56"
"1384080548","363.65","301.58","300.01","60415.7026747700","267.21","301.58"
"1384080609","363.65","300.00","300.00","60441.6609863100","267.21","300.15"
"1384080670","363.65","300.00","299.00","60450.8981320900","267.21","300.00"
"1384080731","363.65","293.37","293.20","60494.4905053600","267.21","293.37"
"1384080792","363.65","300.00","295.00","60546.3194057200","267.21","298.00"
"1384080853","363.65","295.00","293.71","60560.1120657200","267.21","295.00"
"1384080914","363.65","295.00","295.00","60570.3212527200","267.21","295.78"
