"timestamp_minute","last","bid","ask","volume","volume_bid","volume_ask","p99_bid","p99_ask","p98_bid","p98_ask","p97_bid","p97_ask","p96_bid","p96_ask","p95_bid","p95_ask","p90_bid","p90_ask","p85_bid","p85_ask","p80_bid","p80_ask","p75_bid","p75_ask"
"1387287060","666.00","663.51","665.99","76231.4935350000","41371","21674","656.30","680.00","653.00","696.34","643.00","700.00","625.00","700.00","615.00","709.99","588.00","767.40","560.00","800.00","523.00","849.99","500.00","869.98"
"1387287060","666.00","663.51","665.99","76231.4935350000","41392","21671","656.30","680.00","653.00","696.34","643.00","700.00","625.00","700.00","615.00","709.50","588.00","764.90","560.00","800.00","525.00","849.99","500.00","869.98"
"1387287180","664.00","664.00","665.00","75964.1951639900","41411","21679","656.30","680.00","653.00","696.00","643.00","700.00","625.00","700.00","615.00","709.50","588.00","764.90","560.00","800.00","525.00","849.99","500.00","869.98"
"1387287240","666.00","666.50","669.00","75746.7467084100","41429","21680","656.30","680.00","653.00","696.34","643.00","700.00","626.00","700.00","615.00","709.50","588.00","764.70","560.00","800.00","525.01","849.99","500.00","869.98"
"1387287300","669.99","666.70","669.99","75627.6632489100","41454","21679","656.31","680.00","653.00","696.34","645.00","700.00","626.01","700.00","615.00","709.50","588.00","764.90","560.00","800.00","525.01","849.99","500.00","869.98"
"1387287360","667.00","667.00","668.04","75517.8102852100","41566","21612","658.00","688.89","653.11","700.00","650.00","700.00","626.01","700.00","615.00","710.00","590.00","770.70","561.23","808.00","530.00","849.99","500.00","869.98"
"1387287420","673.00","669.02","673.00","75549.9695515200","41529","21591","658.00","688.90","653.00","700.00","645.55","700.00","626.01","700.00","615.00","710.00","590.00","772.00","560.00","810.00","530.00","849.99","500.00","869.98"
"1387287420","673.00","669.02","673.00","75549.9695515200","41534","21090","658.00","688.89","653.00","700.00","647.00","713.00","626.01","722.00","615.00","734.90","590.00","789.00","560.00","840.00","530.00","853.58","500.00","873.00"
"1387287480","669.02","669.02","672.00","75535.3922668900","41571","21086","658.01","688.90","653.11","700.00","650.00","713.00","626.01","724.00","615.00","735.00","590.00","789.00","561.00","840.00","530.00","853.58","500.00","873.00"
"1387287720","678.00","678.00","678.37","75357.8193746300","41933","21093","660.00","688.90","658.00","705.00","653.00","713.00","650.00","722.00","626.01","735.00","600.00","789.00","564.02","840.00","537.51","853.58","500.00","873.00"
"1387287780","675.03","674.00","675.00","75384.3835142000","41910","21090","660.00","689.50","658.00","708.96","653.00","713.00","650.00","724.00","626.01","735.21","600.00","789.00","564.02","840.00","539.39","853.58","500.00","873.00"
"1387287900","669.02","666.71","669.02","75384.3052255400","41843","21084","660.00","689.00","657.00","705.00","653.00","713.00","643.00","724.00","625.00","735.21","600.00","789.00","564.02","840.00","536.00","853.58","500.00","873.00"
"1387287960","669.02","666.77","669.00","75357.0479702100","41771","21102","660.00","688.90","656.30","700.00","652.00","713.00","640.00","722.00","625.00","734.90","595.00","789.00","564.02","839.84","535.00","853.58","500.00","873.00"
"1387288020","669.02","666.66","669.00","75341.9901635000","41740","21109","660.00","688.90","656.30","700.00","652.00","713.00","640.00","720.00","625.00","734.90","595.00","789.00","564.02","839.78","535.00","853.58","500.00","873.00"
"1387288080","666.00","665.04","666.00","75318.9312083500","41722","21159","660.00","688.89","656.30","699.50","652.00","710.00","638.96","713.00","625.00","730.00","595.00","787.90","564.02","836.81","535.00","853.58","500.00","873.00"
"1387288200","663.00","663.00","663.48","75337.6755347300","41685","21225","660.00","682.63","655.01","690.63","652.00","709.50","638.96","713.00","625.00","729.00","595.00","784.00","564.02","830.00","535.00","850.00","500.00","873.00"
